Feature,Importance
EconomicSupportIndex,0.536610901
ContainmentHealthIndex,0.214213029
GovernmentResponseIndex,0.055023458
republican_share,0.03608555
StringencyIndex,0.031171625
Administered_Dose1_Recip_18PlusPop_Pct,0.021967189
Series_Complete_65PlusPop_Pct,0.013775875
Master_pct,0.013266254
Bachelor_pct,0.010901286
other_share,0.008306033
Irregular_Care_Seeking_Behavior,0.005945472
Povhouse_pct,0.005523287
Employed_pct,0.004452501
Historic_Undervaccination,0.003484505
Administered_Dose1_Recip_65PlusPop_Pct,0.003310722
Administered_Dose1_Pop_Pct,0.002849203
Healthcare_Accessibility_Barriers,0.002732798
Hispanic_pct,0.002609795
democrat_share,0.00185835
Asian_pct,0.001523515
totalvotes,0.001389026
Black_pct,0.001269875
SomeCollege_pct,0.001209452
Natural_pct,0.000996822
CVAC,0.000954291
Production_pct,0.000868678
Native_pct,0.000830682
SVI,0.000800806
GED_pct,0.000739547
Series_Complete_12PlusPop_Pct,0.000738888
Manufacturing_pct,0.000735105
Associate_pct,0.000686267
Deaths,0.000661895
SomeCollegeless_pct,0.00064045
House,0.000624191
Transportation_pct,0.000604875
Series_Complete_Pop_Pct,0.000565479
NoSchool_pct,0.000541276
Cases,0.000523856
Povpop_pct,0.000522718
Administered_Dose1_Recip_12PlusPop_Pct,0.00050223
White_pct,0.000500686
Economic.Types,0.000463451
Sociodemographic_Barriers,0.000455542
Construction_pct,0.000455314
Series_Complete_18PlusPop_Pct,0.000439033
Doctorate_pct,0.000436105
ArmedForce_pct,0.000426602
Pacific_pct,0.000399642
Resource_constrained_Healthcare_System,0.000396497
GINI,0.00039172
Retail_pct,0.000380689
Profession_pct,0.000370607
HighSchool_pct,0.000366113
Wholesale_pct,0.000357252
Unmployed_pct,0.000349321
Service_pct,0.000346902
Disability_pct,0.000337342
Male_pct,0.000292694
Public_pct,0.000241838
Population,0.000214687
Other_pct,0.000207243
Metro.status,0.000153038
Female_pct,0
democrat_bin,0
