Feature,Coefficient
SVI,-3.635070123
Population,-6.71E-07
House,8.46E-06
Male_pct,378271.357
Female_pct,378271.6303
White_pct,3.905545288
Black_pct,-0.42497552
Native_pct,2.511631985
Asian_pct,2.268016438
Pacific_pct,-3.423800194
Other_pct,6.483403723
Hispanic_pct,3.212468499
Disability_pct,7.889534134
Povpop_pct,2.23584415
Povhouse_pct,-9.190708711
GINI,2.560572868
NoSchool_pct,14.72022301
HighSchool_pct,-7.232620215
GED_pct,12.9518058
SomeCollegeless_pct,-7.379981208
SomeCollege_pct,-10.77097591
Associate_pct,2.885188942
Bachelor_pct,16.39032558
Master_pct,20.11978861
Profession_pct,-24.70781447
Doctorate_pct,2.429796197
ArmedForce_pct,-4.262432242
Employed_pct,-3.213542751
Unmployed_pct,3.697235916
Service_pct,8.190937936
Natural_pct,-26.5914519
Production_pct,-21.6708309
Construction_pct,11.13368167
Manufacturing_pct,-1.681365435
Wholesale_pct,1.174927516
Retail_pct,2.302505865
Transportation_pct,-14.68197396
Public_pct,-16.7127109
Historic_Undervaccination,-1.203504052
Sociodemographic_Barriers,2.55123572
Resource_constrained_Healthcare_System,0.330464743
Healthcare_Accessibility_Barriers,0.974138494
Irregular_Care_Seeking_Behavior,-0.336774544
CVAC,-1.168317864
Cases,2.18E-05
Deaths,-0.000690175
Series_Complete_Pop_Pct,136.8139436
Series_Complete_12PlusPop_Pct,-71.69492764
Series_Complete_18PlusPop_Pct,-77.19915912
Series_Complete_65PlusPop_Pct,4.286430261
Administered_Dose1_Pop_Pct,22.90917093
Administered_Dose1_Recip_12PlusPop_Pct,-46.04234665
Administered_Dose1_Recip_18PlusPop_Pct,52.00680274
Administered_Dose1_Recip_65PlusPop_Pct,-4.559947677
Metro.status,0.435434617
Economic.Types,0.049018325
democrat_share,-57456933.15
republican_share,-57456939.37
other_share,-57456982.12
totalvotes,-7.71E-06
democrat_bin,-0.496339351
StringencyIndex,-0.015562557
GovernmentResponseIndex,21.16027605
ContainmentHealthIndex,-18.43385849
EconomicSupportIndex,-2.644279708
