Feature,Importance
Master_pct,0.514711386
totalvotes,0.117518582
Irregular_Care_Seeking_Behavior,0.030935767
SomeCollege_pct,0.025079759
democrat_share,0.020771333
CVAC,0.015813946
HighSchool_pct,0.014116442
Povhouse_pct,0.012948505
other_share,0.010463622
Historic_Undervaccination,0.010329395
republican_share,0.009963654
Bachelor_pct,0.009026023
Deaths,0.00885346
Series_Complete_65PlusPop_Pct,0.007944442
Native_pct,0.007854154
Employed_pct,0.007050324
Construction_pct,0.006959526
SVI,0.006863622
GovernmentResponseIndex,0.00661835
Resource_constrained_Healthcare_System,0.006304859
Profession_pct,0.005627967
Manufacturing_pct,0.005569051
ContainmentHealthIndex,0.005334252
ArmedForce_pct,0.005191947
House,0.005183846
Retail_pct,0.005103657
Povpop_pct,0.005096282
Disability_pct,0.004724517
Production_pct,0.004557245
GED_pct,0.004512551
NoSchool_pct,0.00449593
Wholesale_pct,0.004445913
Transportation_pct,0.00417129
Economic.Types,0.004150409
Doctorate_pct,0.004024766
Hispanic_pct,0.003881761
Population,0.003820713
Public_pct,0.003610138
EconomicSupportIndex,0.003592388
White_pct,0.00342942
Cases,0.003236484
Associate_pct,0.003145487
Healthcare_Accessibility_Barriers,0.003073641
Sociodemographic_Barriers,0.003030203
Asian_pct,0.002920806
SomeCollegeless_pct,0.002918248
Service_pct,0.002861037
Black_pct,0.002830921
Pacific_pct,0.002823108
Administered_Dose1_Pop_Pct,0.002783777
GINI,0.002781954
Unmployed_pct,0.002707867
Natural_pct,0.002651622
Other_pct,0.002627914
StringencyIndex,0.00253788
Male_pct,0.002429728
Administered_Dose1_Recip_65PlusPop_Pct,0.002386487
Female_pct,0.002249901
Administered_Dose1_Recip_18PlusPop_Pct,0.002009908
Series_Complete_18PlusPop_Pct,0.00181979
Administered_Dose1_Recip_12PlusPop_Pct,0.001627269
Series_Complete_Pop_Pct,0.001441511
Series_Complete_12PlusPop_Pct,0.001422905
Metro.status,0.000922396
democrat_bin,0.00010796
